"Service Items","Actual 09-2024","Actual 10-2024","Actual 11-2024","Actual 12-2024","Actual 01-2025","Actual 02-2025","Actual 03-2025","Actual 04-2025","Actual 05-2025","Actual 06-2025","Actual 07-2025","Actual 08-2025","Forecasted 09-2025","Forecasted 10-2025","Forecasted 11-2025","Forecasted 12-2025","Forecasted 01-2026","Forecasted 02-2026","Forecasted 03-2026","Forecasted 04-2026","Forecasted 05-2026","Forecasted 06-2026","Forecasted 07-2026","Forecasted 08-2026","Total"
"Total","2914034.63","3174182.47","2804290.29","2114732.9","537114.76","496898.61","267214.42","180014.22","241096.55","255055.78","1423736.4","1291801.53","1267926.89","1235162.9","1151045.31","1004946.01","810216.67","611303.87","460551.89","382477.58","377025.72","458369.06","595175.06","738608.62","9092809.58"
"EC2 - Compute","1698387.87","1910624.43","1648476.07","1190378.56","957084.87","867243.15","886207.0","872099.06","923334.59","901752.02","944394.75","844501.38","921990.58","911139.24","873014.72","809986.61","731269.18","650442.05","581802.02","536523.5","526535.9","558671.83","607278.22","658721.75","8367375.6"
"S3 - Storage","298997.02","283264.76","232666.17","131795.72","119105.35","117122.58","112284.24","114093.15","104284.26","109101.19","105907.39","107368.22","113038.21","111749.39","106846.82","98568.46","88080.4","77162.98","67732.4","61326.12","61826.72","65868.05","72226.29","79113.74","1003539.58"
"RDS - Compute","112053.06","128687.52","138373.47","142441.33","75572.83","68884.53","77234.88","74743.43","77234.88","74229.48","81421.24","82491.74","76510.24","76832.42","75199.98","71572.68","66453.1","60751.58","55541.88","51773.16","50411.94","52185.59","55487.83","59406.2","752126.6"
"Amazon Elastic MapReduce","147589.81","148060.24","123049.03","184843.71","-0.0","0.0","-0.0","0.0","0.0","0.0","92839.49","75209.56","65714.11","64484.98","57493.39","47438.66","37237.49","27084.31","22459.76","22813.16","23117.98","29144.13","40098.7","50904.23","487990.9"
"S3 - API","113369.02","128003.09","132744.28","120531.74","0.0","0.0","0.0","0.0","0.0","0.0","70285.63","63575.88","55986.11","54944.38","49031.74","38965.38","29839.82","21267.2","17944.74","18277.57","18606.17","23373.89","32720.65","41911.82","402869.47"
"EBS - Storage","66105.92","84337.06","82875.12","51536.39","-0.0","0.0","-0.0","-0.0","-0.0","-0.0","33186.54","29181.0","27917.55","27181.46","23608.46","19507.37","14385.06","9303.04","7706.21","7844.24","7967.09","10220.61","15633.54","20974.61","192249.24"
"EC2 - Transfer","155489.76","155303.85","146873.29","36343.58","35707.48","41497.74","41657.35","18692.87","26957.41","21349.87","26986.97","27712.83","30208.87","29536.41","28451.75","24509.53","18666.8","12400.11","7308.94","4686.23","5171.18","8577.18","13941.21","19781.22","203239.43"
"ElastiCache - Compute","22233.72","25199.26","25023.15","21499.76","1694.77","4498.16","4980.11","4819.46","4980.11","4819.46","15006.38","15342.24","13765.27","13526.02","12537.56","10938.75","9030.19","7194.01","5985.27","5813.44","6376.02","7536.06","8994.64","10371.21","112068.44"
"CloudWatch - Metrics","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2004.38","-2450.58","-2441.99","15300.41","15234.79","5929.98","495.72","474.34","505.03","538.16","482.16","427.17","441.92","455.05","466.72","477.06","656.39","11349.7"
