Instance Name,Instance Id,Instance State,Launch Date,Region,Operating System,Tags,Auto Scaling Group Name,Total Hours,Type,Account Name,CPU Avg,Memory Avg,Disk Avg,CPU Max,Memory Max,Disk Max,Net Out Avg,Status,Current Cost,Projected Cost,Projected Savings By Cost,Current Price,Projected Price,Projected Savings,Terminate Recommendation,Best Fit Instance AssetServiceTypeName,Perspective Name1,Perspective GroupName1,Perspective Name2,Perspective GroupName2,In Family Recommendation,In Family Recommendation Projected Cost,In Family Recommendation Projected Price
production-worker-cubes-jruby24xl-temp-1,i-0ad2165dd8688e831,running,2024-06-07T07:00:00Z,us-east-1,linux,"Name: production-worker-cubes-jruby24xl-temp-1, cht_encrypted: true, cht_env: production, cht_function: cubeworker, cht_management: terraform, cht_owner: Jeff, cht_subfunction: cubeworker-temp, cht_tag: Vikram, cht_tower: Matrix, cleanup: true",,258,r5ad.24xlarge,CloudHealth Prod,0.715,0.52166665,,65.69,2.73,,,UNDER_TARGET,1253.4929,0,1253.4929,4055.76,0,4055.76,true,,,,,,,,
production-worker-cubes-jruby-ulc-immutable-2025-09-03-i-0b8a295b6410f1c1b,i-0b8a295b6410f1c1b,running,2025-09-03T20:00:00Z,us-east-1,linux,"Name: production-worker-cubes-jruby-ulc-immutable-2025-09-03-i-0b8a295b6410f1c1b, aws:autoscaling:groupName: production-worker-cubes-jruby-ulc-immutable, aws:ec2launchtemplate:id: lt-0b22abfd1e9145664, aws:ec2launchtemplate:version: 274, cht_function: cubeworker, cht_management: terraform, cht_owner: Bhaskar, cht_subfunction: cubeworker-jruby-ulc, cht_tower: Titans, deployed_revision: 20250903.02, version_tag: cube_worker_jruby_revision",production-worker-cubes-jruby-ulc-immutable,190,x2idn.32xlarge,CloudHealth Prod,2.825,33.316666,,65.09,76.96,,,UNDER_TARGET,1758.7692,982.01025,776.7589,6335.55,3167.775,3167.775,false,x2idn.16xlarge,,,,,x2idn.16xlarge,982.01025390625,3167.77490234375
production-worker-cubes-jruby-ulc-immutable-2025-09-04-i-04578ee03f7b013bd,i-04578ee03f7b013bd,running,2025-09-04T02:00:00Z,us-east-1,linux,"Name: production-worker-cubes-jruby-ulc-immutable-2025-09-04-i-04578ee03f7b013bd, aws:autoscaling:groupName: production-worker-cubes-jruby-ulc-immutable, aws:ec2launchtemplate:id: lt-0b22abfd1e9145664, aws:ec2launchtemplate:version: 274, cht_function: cubeworker, cht_management: terraform, cht_owner: Bhaskar, cht_subfunction: cubeworker-jruby-ulc, cht_tower: Titans, deployed_revision: 20250903.02, version_tag: cube_worker_jruby_revision",production-worker-cubes-jruby-ulc-immutable,185,x2idn.32xlarge,CloudHealth Prod,2.7166667,30.815,,65.08,85.73,,,UNDER_TARGET,1712.4858,956.16785,756.318,6168.825,3084.4126,3084.4126,false,x2idn.16xlarge,,,,,x2idn.16xlarge,956.1678466796875,3084.41259765625
production-worker-cubes-jruby-ulc-immutable-2025-09-04-i-040e079cb92b6e64c,i-040e079cb92b6e64c,running,2025-09-04T07:00:00Z,us-east-1,linux,"Name: production-worker-cubes-jruby-ulc-immutable-2025-09-04-i-040e079cb92b6e64c, aws:autoscaling:groupName: production-worker-cubes-jruby-ulc-immutable, aws:ec2launchtemplate:id: lt-0b22abfd1e9145664, aws:ec2launchtemplate:version: 274, cht_function: cubeworker, cht_management: terraform, cht_owner: Bhaskar, cht_subfunction: cubeworker-jruby-ulc, cht_tower: Titans, deployed_revision: 20250903.02, version_tag: cube_worker_jruby_revision",production-worker-cubes-jruby-ulc-immutable,179,x2idn.32xlarge,CloudHealth Prod,3.4333334,28.585,,65.08,82.36,,,UNDER_TARGET,1656.9458,925.15704,731.78876,5968.755,2984.3774,2984.3774,false,x2idn.16xlarge,,,,,x2idn.16xlarge,925.1570434570312,2984.37744140625
mgmt-chef-infra-server-c6a-32xlarge-03-13,i-0ba5209b76a8a7ff6,running,2024-03-13T06:00:00Z,us-east-1,linux,"Name: mgmt-chef-infra-server-c6a-32xlarge-03-13, aws:autoscaling:groupName: mgmt-chef-infra-server-c6a-32xlarge-03-13, cht_encrypted: true, cht_env: mgmt, cht_function: chef_server, cht_management: terraform, cht_owner: Devops, cht_subfunction: server, cht_tower: DevOps, cleanup: true, mutable: true",mgmt-chef-infra-server-c6a-32xlarge-03-13,258,c6a.32xlarge,CloudHealth Mgmt,4.35,6.4366665,,7.09,8.15,,,UNDER_TARGET,972.9513,68.7828,904.1685,3157.92,221.88,2936.04,false,m5a.2xlarge,,,,,,,
ch-kp-perspectives-parquet-builder-vlc,i-0f8229144090a0e6a,running,2025-08-28T09:00:00Z,us-east-1,linux,"Name: ch-kp-perspectives-parquet-builder-vlc, aws:ec2:fleet-id: fleet-db1f39ac-898c-6434-8cba-0f0af3b5661c, aws:ec2launchtemplate:id: lt-099c7902282bf99fa, aws:ec2launchtemplate:version: 1, aws:eks:cluster-name: virginia-1, cht_function: eks-microservices, cht_owner: devops, cht_subfunction: ch-kp-perspectives-parquet-builder-vlc, eks:eks-cluster-name: virginia-1, karpenter.k8s.aws/ec2nodeclass: ch-kp-perspectives-parquet-builder-vlc, karpenter.sh/cluster: virginia-1, karpenter.sh/nodeclaim: ch-kp-perspectives-parquet-builder-vlc-27b9c, karpenter.sh/nodepool: ch-kp-perspectives-parquet-builder-vlc, kubernetes.io/cluster/virginia-1: owned",,259.3467,r6a.48xlarge,CloudHealth NG Prod,3.825,44.386665,,81.62,89.25,,,UNDER_TARGET,2494.1848,1341.0299,1153.1549,7058.38,4325.903,2732.4768,false,x2iezn.8xlarge,,,,,r6a.32xlarge,1458.7318115234375,4705.58642578125
production-worker-cubes-jruby-ulc-immutable-2025-09-05-i-077c4c6e1f6a2d26c,i-077c4c6e1f6a2d26c,running,2025-09-05T02:00:00Z,us-east-1,linux,"Name: production-worker-cubes-jruby-ulc-immutable-2025-09-05-i-077c4c6e1f6a2d26c, aws:autoscaling:groupName: production-worker-cubes-jruby-ulc-immutable, aws:ec2launchtemplate:id: lt-0b22abfd1e9145664, aws:ec2launchtemplate:version: 274, cht_function: cubeworker, cht_management: terraform, cht_owner: Bhaskar, cht_subfunction: cubeworker-jruby-ulc, cht_tower: Titans, deployed_revision: 20250903.02, version_tag: cube_worker_jruby_revision",production-worker-cubes-jruby-ulc-immutable,161,x2idn.32xlarge,CloudHealth Prod,3.2466667,31.026667,,65.08,82.32,,,UNDER_TARGET,1490.3254,832.12445,658.201,5368.545,2684.2725,2684.2725,false,x2idn.16xlarge,,,,,x2idn.16xlarge,832.1244506835938,2684.2724609375
ch-kp-perspectives-vlc-prepare-gather,i-068b1c9525ffb6233,running,2025-08-28T09:00:00Z,us-east-1,linux,"Name: ch-kp-perspectives-vlc-prepare-gather, aws:ec2:fleet-id: fleet-7baeba06-5bb7-e19c-8cb8-8ca0343097d4, aws:ec2launchtemplate:id: lt-058fb1a6559c836d0, aws:ec2launchtemplate:version: 1, aws:eks:cluster-name: virginia-1, cht_function: eks-microservices, cht_owner: devops, cht_subfunction: ch-kp-perspectives-vlc-prepare-gather, eks:eks-cluster-name: virginia-1, karpenter.k8s.aws/ec2nodeclass: ch-kp-perspectives-vlc-prepare-gather, karpenter.sh/cluster: virginia-1, karpenter.sh/nodeclaim: ch-kp-perspectives-vlc-prepare-gather-vxsnp, karpenter.sh/nodepool: ch-kp-perspectives-vlc-prepare-gather, kubernetes.io/cluster/virginia-1: owned",,259.3461,r6a.24xlarge,CloudHealth NG Prod,4.975,14.463333,,26.77,43.91,,,UNDER_TARGET,1218.515,335.25668,883.2583,3529.1816,1081.4733,2447.7085,false,x2iezn.2xlarge,,,,,r6a.8xlarge,364.6820983886719,1176.3939208984375
ch-kp-perspectives-vlc-prepare-gather,i-06559f327dffce8f5,running,2025-08-28T09:00:00Z,us-east-1,linux,"Name: ch-kp-perspectives-vlc-prepare-gather, aws:ec2:fleet-id: fleet-7baeba06-5bb7-e19c-8cb8-8ca0343097d4, aws:ec2launchtemplate:id: lt-058fb1a6559c836d0, aws:ec2launchtemplate:version: 1, aws:eks:cluster-name: virginia-1, cht_function: eks-microservices, cht_owner: devops, cht_subfunction: ch-kp-perspectives-vlc-prepare-gather, eks:eks-cluster-name: virginia-1, karpenter.k8s.aws/ec2nodeclass: ch-kp-perspectives-vlc-prepare-gather, karpenter.sh/cluster: virginia-1, karpenter.sh/nodeclaim: ch-kp-perspectives-vlc-prepare-gather-jh7k5, karpenter.sh/nodepool: ch-kp-perspectives-vlc-prepare-gather, kubernetes.io/cluster/virginia-1: owned",,259.3458,r6a.24xlarge,CloudHealth NG Prod,5.1916666,23.476667,,27.72,44.03,,,UNDER_TARGET,1208.8387,335.25632,873.58246,3529.1777,1081.472,2447.7056,false,x2iezn.2xlarge,,,,,r6a.8xlarge,364.68170166015625,1176.392578125
ch-kp-perspectives-vlc-rebuilder,i-015cfe5282851f74a,running,2025-08-28T09:00:00Z,us-east-1,linux,"Name: ch-kp-perspectives-vlc-rebuilder, aws:ec2:fleet-id: fleet-67bd0f17-9c2c-4e85-a4b0-09827d73e23f, aws:ec2launchtemplate:id: lt-0b331110b2a44ff51, aws:ec2launchtemplate:version: 1, aws:eks:cluster-name: virginia-1, cht_function: eks-microservices, cht_owner: devops, cht_subfunction: ch-kp-perspectives-vlc-rebuilder, eks:eks-cluster-name: virginia-1, karpenter.k8s.aws/ec2nodeclass: ch-kp-perspectives-vlc-rebuilder, karpenter.sh/cluster: virginia-1, karpenter.sh/nodeclaim: ch-kp-perspectives-vlc-rebuilder-brdr6, karpenter.sh/nodepool: ch-kp-perspectives-vlc-rebuilder, kubernetes.io/cluster/virginia-1: owned",,259.3733,r6a.24xlarge,CloudHealth NG Prod,7.2883334,16.918333,,54.18,75.86,,,UNDER_TARGET,1193.4525,363.43387,830.0187,3529.5518,1172.3673,2357.1846,false,r5a.8xlarge,,,,,r6a.8xlarge,364.7203369140625,1176.5172119140625
